Nº,Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank for 2020
123,Belize,683,70.5,13.0,8.8,6309,6,120
123,Morocco,683,74.0,14.2,5.9,7303,1,122
125,El Salvador,675,70.7,12.7,7.2,8296,-8,124
126,Nicaragua,667,73.8,12.6,7.1,5625,6,129
127,Bhutan,666,71.8,13.2,5.2,9438,-15,125
128,Cabo Verde,662,74.1,12.6,6.3,6230,2,127
129,Bangladesh,661,72.4,12.4,7.4,5472,4,128
130,Tuvalu,641,64.5,9.4,10.6,6351,-2,131
131,Marshall Islands,639,65.3,10.2,10.9,4620,12,131
132,India,633,67.2,11.9,6.7,659,-6,130
133,Ghana,632,63.8,12.0,8.3,5745,-2,135
134,Micronesia (Federated States of),628,70.7,11.5,7.8,3696,22,136
135,Guatemala,627,69.2,10.6,5.7,8723,-20,133
136,Kiribati,624,67.4,11.8,8.0,4063,14,137
137,Honduras,621,70.1,10.1,7.1,5298,-1,138
138,Sao Tome and Principe,618,67.6,13.4,6.2,4021,13,139
139,Namibia,615,59.3,11.9,7.2,8634,-23,134
140,Lao People's Democratic Republic,607,68.1,10.1,5.4,7700,-18,142
140,Timor-Leste,607,67.7,12.6,5.4,4461,7,140
140,Vanuatu,607,70.4,11.5,7.1,3085,23,142
143,Nepal,602,68.4,12.9,5.1,3877,10,144
144,Eswatini (Kingdom of),597,57.1,13.7,5.6,7679,-21,141
145,Equatorial Guinea,596,60.6,9.7,5.9,12074,-47,147
146,Cambodia,593,69.6,11.5,5.1,4079,3,148
146,Zimbabwe,593,59.3,12.1,8.7,3810,9,145
148,Angola,586,61.6,12.2,5.4,5466,-14,149
149,Myanmar,585,65.7,10.9,6.4,3851,5,145
150,Syrian Arab Republic,577,72.1,9.2,5.1,4192,-2,152
151,Cameroon,576,60.3,13.1,6.2,3621,6,150
152,Kenya,575,61.4,10.7,6.7,4474,-6,150
153,Congo,571,63.5,12.3,6.2,2889,11,153
154,Zambia,565,61.2,10.9,7.2,3218,7,154
155,Solomon Islands,564,70.3,10.3,5.7,2482,13,155
156,Comoros,558,63.4,11.9,5.1,3142,6,156
156,Papua New Guinea,558,65.4,10.4,4.7,4009,-4,157
158,Mauritania,556,64.4,9.4,4.9,5075,-20,158
159,Côte d'Ivoire,550,58.6,10.7,5.2,5217,-22,159
,LOW HUMAN DEVELOPMENT,,,,,,,
160,Tanzania (United Republic of),549,66.2,9.2,6.4,2664,7,160
161,Pakistan,544,66.1,8.7,4.5,4624,-19,161
162,Togo,539,61.6,13.0,5.0,2167,12,163
163,Haiti,535,63.2,9.7,5.6,2848,2,162
163,Nigeria,535,52.7,10.1,7.2,4790,-22,163
165,Rwanda,534,66.1,11.2,4.4,2210,6,165
166,Benin,525,59.8,10.8,4.3,3409,-7,166
166,Uganda,525,62.7,10.1,5.7,2181,6,166
168,Lesotho,514,53.1,12.0,6.0,2700,-2,168
169,Malawi,512,62.9,12.7,4.5,1466,13,169
170,Senegal,511,67.1,9.0,2.9,3344,-10,170
171,Djibouti,509,62.3,7.4,4.1,5025,-32,171
172,Sudan,508,65.3,7.9,3.8,3575,-14,171
173,Madagascar,501,64.5,10.1,5.1,1484,8,173
174,Gambia,500,62.1,9.4,4.6,2172,-1,173
175,Ethiopia,498,65.0,9.7,3.2,2361,-5,175
176,Eritrea,492,66.5,8.1,4.9,1729,3,176
177,Guinea-Bissau,483,59.7,10.6,3.6,1908,0,177
178,Liberia,481,60.7,10.4,5.1,1289,7,179
179,Congo (Democratic Republic of the),479,59.2,9.8,7.0,1076,9,180
180,Afghanistan,478,62.0,10.3,3.0,1824,-2,177
181,Sierra Leone,477,60.1,9.6,4.6,1622,-1,181
182,Guinea,465,58.9,9.8,2.2,2481,-13,182
183,Yemen,455,63.8,9.1,3.2,1314,1,183
184,Burkina Faso,449,59.3,9.1,2.1,2118,-8,185
185,Mozambique,446,59.3,10.2,3.2,1198,2,184
186,Mali,428,58.9,7.4,2.3,2133,-11,186
187,Burundi,426,61.7,10.7,3.1,732,4,187
188,Central African Republic,404,53.9,8.0,4.3,966,1,188
189,Niger,400,61.6,7.0,2.1,1240,-3,189
190,Chad,394,52.5,8.0,2.6,1364,-7,190
191,South Sudan,385,55.0,5.5,5.7,768,-1,191
